   cname	              frame	               time	             cellno	          schnitzno	              birth	           lifespan	             length	               area	                  x	                  y	              angle	   colonyCenterDist	   colonyBorderDist	avgColonyBorderDist	              grate	             grcoef	          grateinst	              width	          siderotot	           siderosd	          sideromed	           siderobg	          siderongb	            areangb	      siderongbCell	        areangbCell	         siderongbl	           areangbl	     siderongblCell	       areangblCell	          correltot	           correlsd	          correlmed
     0HH	                 35	                165	                  1	                  4	                310	                130	            38.1385	                516	            221.851	            133.597	            16.8783	            25.9061	            9.41993	            35.3691	          0.0156504	           0.994049	           0.428102	            17.4485	         1.8113e+06	             458.52	               3519	            2149.39	        6.17619e+06	               1967	        4.08053e+06	               1140	        1.03113e+07	               3388	        6.17128e+06	               1731	        2.07755e+07	            12796.7	              40258
     0TH	                 35	                165	                  2	                  6	                310	                110	            40.0702	                477	             242.73	            86.4382	           -45.9698	            26.6798	            8.30012	            34.9338	           0.016127	           0.998903	           0.542975	            15.5744	        1.61141e+06	            443.976	               3408	            2149.39	        6.13713e+06	               2061	        3.65182e+06	               1073	          1.043e+07	               3540	        5.65156e+06	               1607	        1.94809e+07	            12272.7	              40904
     0TT	                 35	                165	                  3	                  7	                310	                100	            38.9522	                427	             244.41	            106.412	           -36.6468	             9.6993	            11.8385	            29.8412	          0.0199042	           0.989673	            1.47637	             14.542	        1.54522e+06	            441.603	               3640	            2149.39	        6.94711e+06	               2109	        5.26494e+06	               1470	        1.30508e+07	               4397	        7.08369e+06	               2012	        1.56736e+07	            11071.4	              36557
     0HT	                 35	                165	                  4	                  5	                310	                140	            39.8583	                436	            241.484	            121.796	           -36.5391	            10.4379	             11.216	            30.3306	          0.0166782	           0.992489	           0.962409	            14.8396	        1.66047e+06	            470.298	             3836.5	            2149.39	        7.13303e+06	               2218	        4.90674e+06	               1347	        1.26037e+07	               4146	        7.50187e+06	               2119	        1.61771e+07	            11077.9	            36970.5
     0HH	                 36	                170	                  1	                  4	                310	                130	            40.0351	                550	            222.704	            134.496	            13.9126	            25.7239	             9.5224	            35.6338	          0.0156504	           0.994049	           0.379315	            17.6802	         1.9535e+06	            470.786	               3578	            2152.33	        6.46131e+06	               2031	        4.27312e+06	               1210	        1.05326e+07	               3394	        6.43355e+06	               1810	        2.18969e+07	            12914.9	            40305.5
     0TH	                 36	                170	                  2	                  6	                310	                110	             43.258	                508	            243.341	            87.6437	           -43.7661	            26.2735	            7.99254	            35.1962	           0.016127	           0.998903	           0.637547	            15.5031	        1.76516e+06	            490.598	               3505	            2152.33	        6.52915e+06	               2115	        4.07141e+06	               1164	         1.0866e+07	               3607	         6.1875e+06	               1751	        2.03049e+07	            11799.1	              40280
     0HT	                 36	                170	                  3	                  5	                310	                140	            43.3651	                482	            241.463	            122.012	           -34.9989	             9.8843	            13.0782	            30.6818	          0.0166782	           0.992489	           0.701364	            15.1267	         1.7434e+06	            460.568	             3648.5	            2152.33	        7.52168e+06	               2326	        5.21397e+06	               1453	        1.32142e+07	               4256	        8.13825e+06	               2295	        1.74739e+07	            10907.3	            36381.5
     0TT	                 36	                170	                  4	                  7	                310	                100	            42.0251	                451	            243.909	            106.574	           -37.5978	            9.49307	            14.1026	            30.2982	          0.0199042	           0.989673	           0.614575	            14.3995	        1.66151e+06	            450.824	               3732	            2152.33	        7.32044e+06	               2191	         5.7344e+06	               1601	        1.34933e+07	               4473	        7.53317e+06	               2141	        1.60687e+07	            10454.3	              35907
     0HH	                 37	                175	                  1	                  4	                310	                130	            43.8658	                606	            221.662	             134.01	             10.074	            25.6679	            9.39484	            35.8153	          0.0156504	           0.994049	            0.76613	            17.7904	        2.19647e+06	            476.488	               3640	            2156.34	        6.88767e+06	               2136	        4.72124e+06	               1303	        1.10554e+07	               3489	        7.07431e+06	               1940	        2.44737e+07	            13458.2	              40828
     0HT	                 37	                175	                  2	                  5	                310	                140	            47.6262	                526	            240.165	            120.759	           -34.2164	            9.21403	            14.7487	            31.0521	          0.0166782	           0.992489	           0.852228	            15.1962	        1.96146e+06	            496.002	               3755	            2156.34	        8.15045e+06	               2460	         5.8376e+06	               1583	        1.42554e+07	               4477	        9.20928e+06	               2519	        1.94221e+07	            11507.3	            37053.5
     0TH	                 37	                175	                  3	                  6	                310	                110	            47.0844	                539	            242.814	             87.462	           -41.4913	            26.1034	            8.11348	            36.1136	           0.016127	           0.998903	           0.765277	            15.2769	        1.97175e+06	            507.064	               3721	            2156.34	        7.03285e+06	               2208	        4.56328e+06	               1254	        1.16383e+07	               3749	        6.93047e+06	               1892	        2.20233e+07	            12003.5	              40735
     0TT	                 37	                175	                  4	                  7	                310	                100	            46.4427	                486	            242.354	            105.214	           -36.2988	            9.85671	            15.6476	            31.0722	          0.0199042	           0.989673	            0.88352	            14.2907	        1.82844e+06	             477.25	             3806.5	            2156.34	        8.05833e+06	               2330	        6.48857e+06	               1750	        1.44746e+07	               4683	        8.39075e+06	               2306	        1.73847e+07	            10329.2	              35789
     0HH	                 38	                180	                  1	                  4	                310	                130	            46.8426	                654	             221.13	            134.064	            5.30768	            25.5948	            9.96076	            35.7508	          0.0156504	           0.994049	           0.595362	            17.9686	        2.59638e+06	            552.157	             3984.5	            2153.01	        7.57038e+06	               2187	        5.44395e+06	               1386	        1.19512e+07	               3548	        8.08274e+06	               2064	         2.5324e+07	            12838.9	              39675
     0HT	                 38	                180	                  2	                  5	                310	                140	            51.5211	                569	            239.183	            120.234	           -33.8262	            8.65099	            14.2035	            31.6417	          0.0166782	           0.992489	           0.778978	            15.1253	        2.29625e+06	            534.703	               4066	            2153.01	        9.06912e+06	               2599	        6.72652e+06	               1706	        1.56767e+07	               4661	        1.06718e+07	               2735	        2.03363e+07	            10916.5	              35940
     0TT	                 38	                180	                  3	                  7	                310	                100	            50.9433	                516	            241.436	            104.486	           -37.1309	            10.3098	             17.629	             32.124	          0.0199042	           0.989673	           0.900128	            13.9321	        2.03396e+06	            493.267	             3979.5	            2153.01	        8.98878e+06	               2472	        7.45357e+06	               1901	        1.56364e+07	               4825	        9.53336e+06	               2457	        1.75075e+07	            9119.79	            33968.5
