   cname	              frame	               time	             cellno	          schnitzno	              birth	           lifespan	             length	               area	                  x	                  y	              angle	   colonyCenterDist	   colonyBorderDist	avgColonyBorderDist	              grate	             grcoef	          grateinst	              width	          siderotot	           siderosd	          sideromed	           siderobg	          siderongb	            areangb	      siderongbCell	        areangbCell	         siderongbl	           areangbl	     siderongblCell	       areangblCell	        AvgNgbAngle	          correltot	           correlsd	          correlmed	         Old_pole_X	         Old_pole_Y	       Young_pole_X	       Young_pole_Y	         OldPoleAge	       Bary_Neigh_X	       Bary_Neigh_Y
    0HHH	                 15	                 39	                  2	                  7	                 42	                 33	            64.8153	               1076	            603.424	            393.818	           0.200987	            42.7797	            10.6644	            62.1698	          0.0284204	           0.998053	                  0	            22.2055	         3.9106e+07	            8046.78	              38100	                NaN	        1.24904e+08	               3756	        9.97181e+07	               2921	        2.37166e+08	               7246	        1.66334e+08	               4947	          0.0845336	         3.9106e+07	            8046.78	              38100	            571.669	            387.348	            635.179	            400.288	                  2	            643.023	            396.657
    0HHT	                 15	                 39	                  3	                  8	                 42	                 33	            57.2093	                874	            658.265	            397.566	           -3.03031	             13.044	            34.3166	            57.2892	          0.0322878	           0.996603	                  0	             20.382	        3.08107e+07	            7885.97	            36726.5	                NaN	        1.09256e+08	               3314	        1.09256e+08	               3314	        2.38902e+08	               7126	        2.26291e+08	               6608	           -3.09751	        3.08107e+07	            7885.97	            36726.5	            686.693	            400.743	            629.838	             394.39	                  1	            647.143	            389.768
     0HT	                 15	                 39	                  4	                  3	                 18	                 30	            108.905	               1832	            660.778	            419.998	           -3.09156	            31.0051	            12.0042	            61.8803	          0.0268272	           0.993684	             3.3532	            22.9904	        6.70427e+07	            8979.28	              37818	                NaN	        1.61314e+08	               4899	        1.27173e+08	               3735	        2.49027e+08	               7666	         1.8788e+08	               5629	           -3.10165	        6.70427e+07	            8979.28	              37818	            715.163	            422.721	            606.394	            417.275	                  3	            653.831	            396.029
    0TTH	                 15	                 39	                  5	                  9	                 42	                 33	             54.307	               1022	            661.683	            365.914	           0.606435	            30.8939	            12.9406	            61.3375	          0.0285298	           0.991835	                  0	            25.0929	        3.89718e+07	            8407.32	              40557	                NaN	         1.0889e+08	               3311	        8.16391e+07	               2371	        2.00323e+08	               6127	        1.39952e+08	               4149	            1.89671	        3.89718e+07	            8407.32	              40557	            639.371	            350.438	            683.995	             381.39	                  1	            656.031	            388.892
    0TTT	                 15	                 39	                  6	                 10	                 42	                 36	            59.5498	               1030	            699.804	            396.703	           -2.35761	            53.7703	            10.5413	            71.3158	          0.0257213	           0.990582	                  0	            22.8869	        3.96316e+07	             7930.2	              39980	                NaN	        1.13457e+08	               3441	        8.19108e+07	               2367	        2.02052e+08	               6112	        1.29883e+08	               3781	           -2.86793	        3.96316e+07	             7930.2	              39980	            720.888	            417.727	             678.72	            375.679	                  2	            660.242	            394.493
    0HHH	                 16	                 42	                  1	                  7	                 42	                 33	            69.8096	               1248	            600.239	            392.932	           0.123481	            44.0503	            13.5853	            65.0111	          0.0284204	           0.998053	            1.66479	            23.4619	        4.39856e+07	            8821.43	            36562.5	                NaN	        1.34531e+08	               4038	        1.10187e+08	               3247	        2.49427e+08	               7612	        1.82932e+08	               5483	           0.123242	        4.39856e+07	            8821.43	            36562.5	              565.6	            388.633	            634.878	            397.231	                  2	             642.12	            397.059
    0TTH	                 16	                 42	                  2	                  9	                 42	                 33	            64.5505	               1267	            659.436	            362.877	           0.537094	            32.7324	            13.8439	            64.3401	          0.0285298	           0.991835	            3.41452	            26.4714	        4.71611e+07	            9786.13	              39631	                NaN	        1.24825e+08	               3822	        9.32962e+07	               2756	        2.24116e+08	               6852	        1.54378e+08	               4609	            1.65176	        4.71611e+07	            9786.13	              39631	            631.705	            346.364	            687.167	             379.39	                  1	            656.928	            389.373
    0TTT	                 16	                 42	                  3	                 10	                 42	                 36	            61.6849	               1113	            700.689	            397.022	           -2.31329	            56.6456	            10.8533	            74.7113	          0.0257213	           0.990582	           0.711712	            23.8824	        4.23057e+07	            8259.61	              39834	                NaN	        1.16594e+08	               3542	        8.41505e+07	               2455	        2.06884e+08	               6241	        1.33576e+08	               3898	           -2.86745	        4.23057e+07	            8259.61	              39834	            721.543	            419.746	            679.836	            374.297	                  2	            658.781	            393.894
     0TH	                 16	                 42	                  4	                  4	                 18	                 30	            109.479	               1912	            609.452	            372.374	           0.118554	            39.9187	            12.8725	            63.7498	          0.0237792	           0.969233	             3.0481	             23.879	        6.77299e+07	            8881.41	              36139	                NaN	        1.81711e+08	               5478	        1.46033e+08	               4321	        3.03903e+08	               9299	        2.26328e+08	               6800	           0.376193	        6.77299e+07	            8881.41	              36139	            555.097	              365.9	            663.808	            378.848	                  2	            640.105	            384.844
    0HHT	                 16	                 42	                  5	                  8	                 42	                 33	            61.3169	               1032	            660.641	            398.724	           -2.98514	            17.7354	            33.3808	            60.7839	          0.0322878	           0.996603	             1.3692	            22.4096	        3.58825e+07	            8855.28	            35844.5	                NaN	         1.2171e+08	               3643	         1.2171e+08	               3643	          2.538e+08	               7595	        2.39482e+08	               7035	           -3.12777	        3.58825e+07	            8855.28	            35844.5	            690.925	            403.501	            630.357	            393.947	                  1	            645.217	            389.057
